Property#,Account#,Date,Invoice#,PO#,Part#,Description,Price,Quantity,Amount,GLCode,PurchBy
8413,5904940,26-Oct-2009,9000001188,10005,822405,36-63" SHOWER & UTILITY ROD - BEIGE,9.99,1,9.99,5160.0180,
8413,5904940,26-Oct-2009,9000001188,10005,,Misc,,,5.00,,
8413,5904940,26-Oct-2009,9000001189,1006,855100,STORM DOOR PROTECTOR CHAIN,2.39,1,2.39,5160.0180,
8413,5904940,26-Oct-2009,9000001189,1006,,Misc,,,5.00,,
8413,5904940,26-Oct-2009,9000001190,1007,477850,DELTA SHOWER DIVERTER ASSEMBLY,7.23,1,7.23,5160.0180,
8413,5904940,26-Oct-2009,9000001190,1007,,Misc,,,5.00,,
8413,5904940,26-Oct-2009,9000001210,1011,106063,10.3 OZ LIQUID NAILS GUTTER REPAIR,2.79,1,2.79,5160.0180,Aleyda Zeledon
8413,5904940,26-Oct-2009,9000001210,1011,,Freight,,,8.00,,Aleyda Zeledon
8413,5904940,26-Oct-2009,9000001210,1011,,Misc,,,6.00,,Aleyda Zeledon
8413,5904940,27-Oct-2009,9000001234,1012,501000,BUNA N RUBBER O-RING "PKG OF 10" OR-015,1.12,1,1.12,5160.0180,Aleyda Zeledon
8413,5904940,27-Oct-2009,9000001234,1012,,Sales Tax,,,0.99,,Aleyda Zeledon
8413,5904940,27-Oct-2009,9000001234,1012,,Freight,,,7.00,,Aleyda Zeledon
8413,5904940,27-Oct-2009,9000001234,1012,,Misc,,,6.00,,Aleyda Zeledon
8413,5904940,27-Oct-2009,9000001271,10025,326150,1800 WATT DIRECTIONAL PHOTOCONTROLLER,7.66,11,84.26,5160.0180,
8413,5904940,27-Oct-2009,9000001271,10025,106063,10.3 OZ LIQUID NAILS GUTTER REPAIR,2.79,1,2.79,5160.0180,
8413,5904940,27-Oct-2009,9000001271,10025,,Sales Tax,,,6.73,,
8413,5904940,27-Oct-2009,9000001271,10025,,Freight,,,6.00,,
8413,5904940,27-Oct-2009,9000001271,10025,,Savings,,,-3.00,,
